,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
384,kerala,2021,1,Others,95819,63530974.15939384
385,kerala,2021,2,Peer-to-peer payments,17026648,58152644526.04467
386,kerala,2021,2,Merchant payments,16135060,11263178335.980885
387,kerala,2021,2,Recharge & bill payments,13809151,4645548909.798975
388,kerala,2021,2,Financial Services,88830,88370679.95309764
389,kerala,2021,2,Others,131344,77063984.37888283
390,kerala,2021,4,Merchant payments,38574904,24589454633.018272
391,kerala,2021,4,Peer-to-peer payments,29075528,92774490034.55844
392,kerala,2021,4,Recharge & bill payments,13781815,5689390023.204552
393,kerala,2021,4,Financial Services,108232,128238698.74055986
394,kerala,2021,4,Others,283262,160563553.84187678
395,kerala,2021,3,Merchant payments,25402350,17877677018.10737
396,kerala,2021,3,Peer-to-peer payments,23378091,78598482305.73877
397,kerala,2021,3,Recharge & bill payments,13979407,5008396079.412957
398,kerala,2021,3,Financial Services,85730,101460242.2623948
399,kerala,2021,3,Others,182688,100146127.60812962
400,kerala,2018,1,Recharge & bill payments,988774,157311821.37585658
401,kerala,2018,1,Peer-to-peer payments,600205,2107288314.3025222
402,kerala,2018,1,Merchant payments,72164,82919383.04571173
403,kerala,2018,1,Financial Services,40170,7957491.901965583
404,kerala,2018,1,Others,70067,47197742.47444939
405,kerala,2018,2,Recharge & bill payments,1230869,248080143.25702396
406,kerala,2018,2,Peer-to-peer payments,848291,3436199589.077317
407,kerala,2018,2,Merchant payments,131217,144501582.04666698
408,kerala,2018,2,Financial Services,41100,12355589.34361695
409,kerala,2018,2,Others,56688,45786439.71799916
410,kerala,2018,4,Peer-to-peer payments,2073960,6959805154.570259
411,kerala,2018,4,Recharge & bill payments,1679897,351296525.29857576
412,kerala,2018,4,Merchant payments,417114,378857199.6490426
413,kerala,2018,4,Financial Services,75084,10063656.726067666
414,kerala,2018,4,Others,64599,47338700.56846385
415,kerala,2018,3,Peer-to-peer payments,1425259,4823239268.279744
416,kerala,2018,3,Recharge & bill payments,1407588,296352497.34099543
417,kerala,2018,3,Merchant payments,210974,160705488.6023575
418,kerala,2018,3,Financial Services,37286,6170643.387882499
419,kerala,2018,3,Others,53241,36557326.26447625
420,kerala,2022,1,Merchant payments,47778743,28685388646.415367
421,kerala,2022,1,Peer-to-peer payments,33089518,104623270223.31714
422,kerala,2022,1,Recharge & bill payments,14042317,6373570715.969071
423,kerala,2022,1,Financial Services,134370,158926455.91425735
424,kerala,2022,1,Others,236017,147786423.0782508
425,kerala,2022,2,Merchant payments,55730158,34395023155.77253
426,kerala,2022,2,Peer-to-peer payments,35630060,112813716119.4625
427,kerala,2022,2,Recharge & bill payments,14701207,7230489227.091859
428,kerala,2022,2,Financial Services,110336,133436809.9132271
429,kerala,2022,2,Others,193561,123664236.88435228
430,kerala,2022,4,Merchant payments,74647115,40607857085.646095
431,kerala,2022,4,Peer-to-peer payments,42471676,124564727703.60559
432,kerala,2022,4,Recharge & bill payments,15520670,8075692517.275558
433,kerala,2022,4,Financial Services,164334,191307058.1462068
434,kerala,2022,4,Others,156673,120224235.03622031
435,kerala,2022,3,Merchant payments,64984061,37852759989.759125
436,kerala,2022,3,Peer-to-peer payments,38774832,116414003145.11606
437,kerala,2022,3,Recharge & bill payments,15289755,7709237374.351864
438,kerala,2022,3,Financial Services,146673,162861560.07391134
439,kerala,2022,3,Others,167583,121557246.12854591
440,manipur,2023,1,Peer-to-peer payments,1703742,7281781083.0
441,manipur,2023,1,Merchant payments,933135,1083073192.0
442,manipur,2023,1,Recharge & bill payments,613398,214427498.0
443,manipur,2023,1,Financial Services,3529,3178295.0
444,manipur,2023,1,Others,4579,3104024.0
445,manipur,2023,2,Peer-to-peer payments,812842,3763543566.0
446,manipur,2023,2,Merchant payments,499534,569980400.0
447,manipur,2023,2,Recharge & bill payments,290239,127777535.0
448,manipur,2023,2,Financial Services,1849,1430976.0
449,manipur,2023,2,Others,1807,1144176.0
450,manipur,2020,1,Peer-to-peer payments,451733,2458093401.740467
451,manipur,2020,1,Recharge & bill payments,285234,62688260.379548095
452,manipur,2020,1,Merchant payments,78067,74202067.0664826
453,manipur,2020,1,Financial Services,622,354184.4660589617
454,manipur,2020,1,Others,3145,3252467.2243867153
455,manipur,2020,2,Peer-to-peer payments,533206,2980242535.075443
456,manipur,2020,2,Recharge & bill payments,450830,107589094.29890464
457,manipur,2020,2,Merchant payments,92110,106540409.29886684
458,manipur,2020,2,Financial Services,1676,1457570.8004862315
459,manipur,2020,2,Others,5246,3106603.331810386
460,manipur,2020,4,Peer-to-peer payments,892853,5172499337.530437
461,manipur,2020,4,Recharge & bill payments,436450,114202616.34869762
462,manipur,2020,4,Merchant payments,289050,307902115.38207734
463,manipur,2020,4,Financial Services,1806,2448402.9142817147
464,manipur,2020,4,Others,7693,5172086.283260544
