,State,Year,Quarter,District_Pincode,Transaction_count,Transaction_amount
505,ladakh,2019,1,194103,2503,8164147.918660348
506,ladakh,2019,1,194102,2041,7680518.289965478
507,ladakh,2019,1,194703,1885,8137333.010003834
508,ladakh,2019,1,194106,1541,4488942.049262468
509,ladakh,2019,1,194401,1370,6217803.825260316
510,ladakh,2019,2,194104,17735,63295020.36014056
511,ladakh,2019,2,194101,14988,56876989.833605215
512,ladakh,2019,2,194201,7906,28898155.1417718
513,ladakh,2019,2,194107,6499,24856852.82102184
514,ladakh,2019,2,194102,4231,15822043.828588601
515,ladakh,2019,2,194103,3828,15210861.508913623
516,ladakh,2019,2,194105,3074,10966869.641619151
517,ladakh,2019,2,194703,2941,10821285.393593328
518,ladakh,2019,2,194401,2568,13012100.063231185
519,ladakh,2019,2,194106,2228,7407619.436965435
520,ladakh,2019,4,194104,25677,93804173.45136118
521,ladakh,2019,4,194101,19933,73175814.12544616
522,ladakh,2019,4,194201,12715,46549944.532595575
523,ladakh,2019,4,194107,8728,34212482.94557621
524,ladakh,2019,4,194401,5372,23507363.88592691
525,ladakh,2019,4,194106,4376,18102525.169971935
526,ladakh,2019,4,,2014,10098656.16799601
527,ladakh,2019,4,194103,1521,7432483.4391312525
528,ladakh,2019,4,194109,1035,4422891.100558474
529,ladakh,2019,4,194102,903,4245135.133525687
530,ladakh,2019,3,194104,23502,77525803.43935364
531,ladakh,2019,3,194101,22448,87032254.92826144
532,ladakh,2019,3,194201,13706,46090802.91709252
533,ladakh,2019,3,194107,8879,29420436.345316596
534,ladakh,2019,3,194401,4366,21531295.988504905
535,ladakh,2019,3,194102,4213,14724824.542575972
536,ladakh,2019,3,194103,3540,13317912.313421423
537,ladakh,2019,3,194106,3475,12437364.821673151
538,ladakh,2019,3,194105,2414,7630850.000177934
539,ladakh,2019,3,194703,2183,8856068.892083729
540,ladakh,2021,1,194104,69922,253778842.65696287
541,ladakh,2021,1,194101,52241,188584750.97759098
542,ladakh,2021,1,194201,32349,131455088.778226
543,ladakh,2021,1,194107,20479,75239570.32924883
544,ladakh,2021,1,194401,20189,78630023.24266252
545,ladakh,2021,1,194103,17261,50249657.8673976
546,ladakh,2021,1,194102,11397,36877688.47584062
547,ladakh,2021,1,194703,9665,35542116.58772261
548,ladakh,2021,1,194106,9664,29369812.53538941
549,ladakh,2021,1,194105,9247,30460098.458588008
550,ladakh,2021,2,194104,97554,344092221.32634246
551,ladakh,2021,2,194101,82253,290945382.6748371
552,ladakh,2021,2,194201,46730,184021708.64330217
553,ladakh,2021,2,194107,27961,104196961.24413434
554,ladakh,2021,2,194401,27469,110348436.69281757
555,ladakh,2021,2,194103,23768,73062107.06852457
